IdVendedor,NombreVendedor,MesVenta,AñoVenta,Ventas
108,Carmen Cruz,12,2021,8688.94
178,Carmen Rodríguez,12,2022,26305.06
119,Luis Rodríguez,12,2022,20179.01
45,Luis Ortiz,1,2021,46528.23
180,Pedro Cruz,8,2021,26284.88
322,Lucía Flores,6,2023,40299.59
392,Lucía López,9,2023,28452.34
309,Miguel Díaz,8,2021,39766.72
66,Marta Díaz,3,2021,36069.62
90,Raúl Cruz,11,2022,48940.76
148,Marta Ortiz,12,2022,5949.21
294,Marta Sánchez,10,2022,20585.99
251,Lucía Cruz,4,2021,14829.48
26,Jorge López,6,2021,22105.58
398,María Cruz,9,2023,8063.25
292,María Sánchez,4,2021,33934.02
230,Francisco Díaz,7,2023,15041.1
42,Juan García,7,2022,24381.78
397,Sofía Castro,7,2022,40047.76
269,Laura Ramírez,2,2023,24357.43
288,Elena Rodríguez,6,2023,10070.14
86,Juan Castro,6,2023,16581.24
278,Pedro Ortiz,10,2022,22906.47
68,Miguel García,5,2022,13427.69
217,Laura Gómez,11,2021,46550.7
325,Elena Silva,3,2022,16649.35
322,Lucía Flores,9,2022,13571.4
107,Elena Gómez,1,2021,24973.18
4,Lucía Rivera,11,2022,32833.72
220,Antonio Morales,9,2023,39463.45
135,José Díaz,5,2022,14768.1
289,Sofía Rivera,6,2022,12110.5
94,Francisco Cruz,12,2023,31067.57
222,Laura Cruz,2,2021,29678.41
242,Raúl López,7,2022,21657.17
314,Sofía García,3,2023,13104.42
45,Luis Ortiz,10,2021,49309.02
14,Lucía Díaz,4,2021,15409.96
383,Francisco Rodríguez,2,2021,15761.22
43,Manuel Silva,7,2021,13164.99
134,Sofía González,11,2021,20008.27
225,Carlos Mendoza,5,2022,25758.88
330,Pedro Sánchez,5,2021,38393.54
132,Jorge Morales,3,2022,16268.64
311,Lucía Gómez,4,2023,27037.78
133,Raúl Torres,8,2022,25686.58
250,Carlos Martínez,1,2021,19819.71
68,Miguel García,9,2023,8053.95
341,Sofía Ortiz,4,2021,17762.5
66,Marta Díaz,5,2022,16757.08
134,Sofía González,1,2023,28360.66
372,Sofía Gómez,6,2021,13425.12
202,Carmen González,12,2023,21945.76
187,Raúl García,3,2022,5322.82
99,Marta Mendoza,4,2023,41059.35
285,Sofía Martínez,9,2021,14504.18
107,Elena Gómez,2,2021,13929.49
385,Pedro Ramírez,10,2021,45445.32
135,José Díaz,8,2023,22479.06
150,María Gutierrez,3,2022,49689.85
390,Jorge Rivera,6,2022,21041.17
118,Antonio García,7,2022,33564.19
1,José Mendoza,1,2023,6172.67
129,Miguel Sánchez,7,2023,6331.13
148,Marta Ortiz,9,2022,23161.81
156,Miguel Pérez,6,2021,8701.02
261,Elena López,6,2021,38385.23
89,Pedro Flores,11,2023,21860.23
382,Rosa Rodríguez,12,2021,44950.7
232,Francisco Ramírez,4,2023,21818.83
252,Francisco Gutierrez,12,2022,49332.6
391,José Flores,3,2022,23791.47
334,Laura López,8,2021,38685.94
9,Manuel Rodríguez,12,2022,42168.22
194,Antonio Rodríguez,2,2023,28879.96
290,Rosa Díaz,1,2023,15774.38
203,Lucía Ramírez,4,2023,36097.96
9,Manuel Rodríguez,1,2022,28161.16
46,Miguel González,10,2022,20120.73
158,Ana Mendoza,8,2021,19408.81
182,Lucía Morales,11,2022,34654.01
202,Carmen González,11,2023,31015.27
381,Antonio Cruz,2,2023,43204.43
371,Carlos Gutierrez,8,2023,29362.12
354,Raúl Pérez,1,2023,19043.65
259,Miguel Rodríguez,6,2021,5972.42
398,María Cruz,6,2021,28899.78
271,Laura Díaz,11,2021,49946.24
281,Juan Mendoza,5,2022,25130.53
226,Ana Rodríguez,5,2022,6400.41
9,Manuel Rodríguez,7,2023,31931.04
189,Jorge Gómez,10,2023,29139.32
3,Manuel Gómez,12,2021,44737.6
58,Francisco García,1,2023,26354.79
223,María Mendoza,3,2021,44892.65
391,José Flores,1,2023,36712.67
324,Francisco Pérez,11,2022,45551.15
308,Juan Ortiz,8,2022,48502.88
138,Lucía García,2,2023,26403.72
257,Antonio Pérez,8,2021,24946.62
142,Juan Torres,4,2022,13549.2
239,Laura Sánchez,5,2023,40387.24
71,María Castro,2,2023,29789.68
380,Carlos Ortiz,1,2022,30873.35
137,Francisco López,10,2021,34036.72
142,Juan Torres,10,2023,41323.91
95,Francisco Castro,6,2021,20132.89
279,Luis Díaz,8,2022,42539.65
335,Elena García,12,2021,10771.09
151,Carmen Ortiz,5,2023,24313.93
141,Rosa Sánchez,10,2022,35527.9
391,José Flores,8,2022,12735.11
304,Pedro Díaz,10,2023,13659.1
358,Carmen Gómez,2,2022,38308.7
395,Raúl Morales,12,2022,48059.04
90,Raúl Cruz,5,2023,27363.96
194,Antonio Rodríguez,8,2021,32967.14
163,Manuel García,6,2021,14928.4
346,Juan González,2,2022,6365.37
217,Laura Gómez,2,2021,7470.26
354,Raúl Pérez,1,2021,17482.54
317,Luis Torres,1,2021,10242.35
109,Jorge Silva,9,2023,41241.84
198,Carmen Castro,7,2022,19355.69
269,Laura Ramírez,5,2021,10304.0
386,Marta Castro,1,2021,42340.29
257,Antonio Pérez,12,2022,18198.07
384,Laura Silva,4,2023,47365.83
265,Juan Cruz,8,2022,20273.53
279,Luis Díaz,7,2022,49831.97
389,Rosa Castro,2,2022,26487.56
352,Miguel Flores,6,2021,30197.57
3,Manuel Gómez,7,2023,46896.32
13,Marta González,11,2021,19749.91
55,Ana Torres,8,2023,25366.21
181,Juan Pérez,5,2022,35342.21
389,Rosa Castro,11,2023,33794.12
220,Antonio Morales,9,2022,10979.2
315,Francisco Sánchez,7,2021,7979.15
148,Marta Ortiz,5,2022,36340.21
286,Lucía Torres,3,2021,39995.02
88,Antonio Silva,12,2021,31251.01
216,Elena Sánchez,6,2021,15246.94
197,Lucía Pérez,9,2022,35093.4
130,Ana Ortiz,6,2022,38128.21
161,Jorge Pérez,10,2023,47925.84
144,Francisco González,1,2022,36018.61
349,José Pérez,12,2023,33176.78
177,Ana Martínez,5,2022,47751.97
189,Jorge Gómez,9,2022,24951.99
245,Luis Morales,1,2022,42981.9
88,Antonio Silva,6,2023,31762.63
386,Marta Castro,8,2022,36630.13
121,Carmen García,6,2023,34210.34
54,Juan Martínez,9,2022,5365.21
101,Laura Torres,11,2023,39902.65
21,Juan López,7,2023,25817.61
253,Manuel Ortiz,3,2023,43092.03
278,Pedro Ortiz,12,2023,48664.6
106,José Martínez,12,2022,44088.5
252,Francisco Gutierrez,5,2023,5719.61
322,Lucía Flores,5,2023,15174.1
118,Antonio García,11,2021,36437.68
148,Marta Ortiz,6,2023,17176.67
339,Carlos Flores,12,2023,17422.67
376,Ana Cruz,1,2022,5843.57
38,Laura Martínez,2,2023,47159.73
251,Lucía Cruz,8,2021,47443.48
252,Francisco Gutierrez,8,2023,41907.07
236,Carlos Morales,4,2022,18583.7
142,Juan Torres,8,2022,9818.02
105,Lucía Silva,7,2022,27360.2
38,Laura Martínez,5,2022,37748.67
26,Jorge López,9,2021,7562.31
30,Sofía Rodríguez,9,2021,10498.08
239,Laura Sánchez,11,2023,39443.4
45,Luis Ortiz,9,2022,15090.83
224,Manuel Díaz,1,2023,20226.72
169,Francisco Rivera,1,2022,32771.43
8,Luis Silva,9,2023,18376.81
321,Antonio Sánchez,1,2022,43563.76
80,Rosa López,8,2022,34744.29
295,Carmen Pérez,7,2021,7880.99
354,Raúl Pérez,11,2022,49612.45
134,Sofía González,7,2021,22249.34
275,Laura Morales,11,2023,36755.12
10,Carmen Gutierrez,9,2023,17947.52
50,José Gómez,11,2023,14815.6
40,Manuel Torres,7,2022,21448.13
170,Antonio González,5,2021,18899.39
127,Pedro Gómez,9,2022,11152.12
196,Rosa Mendoza,3,2023,10368.25
233,Lucía Ortiz,6,2021,15185.65
266,Miguel Torres,4,2021,38144.49
344,María González,1,2021,24057.44
174,Antonio Ortiz,2,2022,24864.44
250,Carlos Martínez,2,2023,30454.13
48,José Cruz,10,2021,32886.94
41,Manuel Rivera,7,2023,8716.42
178,Carmen Rodríguez,8,2022,43467.48
79,José Castro,1,2022,38218.67
118,Antonio García,8,2022,47821.76
205,Antonio Flores,4,2023,19551.1
160,Raúl Ortiz,12,2021,10939.66
39,Manuel Gutierrez,1,2022,10720.52
331,Jorge Torres,3,2021,19576.79
141,Rosa Sánchez,12,2023,8483.37
16,Pedro López,7,2021,7464.0
92,Miguel López,5,2021,32994.53
359,Rosa Rivera,9,2022,47338.18
266,Miguel Torres,5,2022,23474.5
66,Marta Díaz,4,2023,19803.67
61,Marta Pérez,5,2023,24761.95
145,Laura Ortiz,5,2022,31954.63
150,María Gutierrez,4,2022,18094.6
29,Elena Flores,12,2021,36859.34
252,Francisco Gutierrez,4,2022,46938.25
270,Juan Rivera,2,2021,45715.82
308,Juan Ortiz,7,2021,35785.76
134,Sofía González,4,2021,18734.63
375,Elena Díaz,1,2022,49496.26
301,Elena González,4,2023,14362.2
21,Juan López,10,2022,24842.32
16,Pedro López,11,2022,6697.4
253,Manuel Ortiz,5,2022,48240.41
248,Marta Ramírez,2,2023,25560.3
374,Miguel Mendoza,1,2022,49233.95
103,Laura Castro,6,2022,21188.78
361,Sofía López,6,2021,33280.23
377,Ana Gutierrez,8,2021,47978.09
349,José Pérez,3,2022,33603.88
304,Pedro Díaz,7,2021,11635.07
345,Elena Pérez,9,2023,5978.21
350,José Ramírez,7,2022,44960.19
392,Lucía López,3,2021,23809.9
263,Elena Gutierrez,6,2021,43653.8
273,María Ramírez,8,2023,30566.18
58,Francisco García,3,2023,29095.09
12,Pedro Morales,2,2021,16363.03
97,Raúl Díaz,12,2022,35072.13
143,Carlos Ramírez,7,2022,25776.65
268,María Torres,2,2021,46665.6
304,Pedro Díaz,12,2023,45560.14
349,José Pérez,8,2023,47271.9
275,Laura Morales,11,2023,11367.28
326,Antonio López,8,2022,31133.2
170,Antonio González,10,2021,38952.62
193,Rosa Martínez,11,2022,24726.93
372,Sofía Gómez,10,2021,33368.51
34,María Silva,11,2021,24982.86
371,Carlos Gutierrez,10,2021,10094.34
335,Elena García,6,2022,44170.98
31,Pedro Pérez,2,2022,20357.91
23,Carmen Flores,10,2021,49060.14
107,Elena Gómez,2,2023,20895.81
357,Miguel Silva,11,2021,31405.56
110,Ana Gómez,3,2022,44569.49
101,Laura Torres,12,2023,49962.84
108,Carmen Cruz,1,2022,25067.46
214,Carlos González,6,2023,37836.16
176,José Morales,8,2022,32065.27
368,Sofía Silva,9,2021,23848.64
229,Ana Castro,6,2021,21948.18
328,Jorge Rodríguez,6,2023,7591.87
346,Juan González,12,2022,7059.82
307,Elena Morales,9,2022,23093.55
90,Raúl Cruz,1,2023,9721.01
6,Ana López,6,2022,41950.87
274,Carmen Ramírez,4,2022,29069.2
141,Rosa Sánchez,11,2022,28899.89
289,Sofía Rivera,3,2021,18746.77
12,Pedro Morales,8,2023,6633.21
184,Manuel Sánchez,6,2023,14496.64
239,Laura Sánchez,10,2021,18963.81
31,Pedro Pérez,10,2023,46618.37
230,Francisco Díaz,4,2022,34052.83
260,Pedro Castro,9,2023,18557.63
270,Juan Rivera,12,2021,31635.96
45,Luis Ortiz,9,2023,37165.88
260,Pedro Castro,4,2022,26330.16
271,Laura Díaz,7,2021,34589.72
306,María Morales,3,2021,10665.53
372,Sofía Gómez,8,2022,49897.54
129,Miguel Sánchez,6,2021,35840.72
190,Lucía Rodríguez,10,2023,21503.47
198,Carmen Castro,2,2021,8210.72
102,Laura Flores,11,2023,13889.25
41,Manuel Rivera,3,2021,40116.37
150,María Gutierrez,7,2021,24362.16
394,Sofía Ramírez,2,2022,43728.45
216,Elena Sánchez,2,2021,45206.59
299,Raúl Rodríguez,3,2022,30670.28
92,Miguel López,12,2022,16497.87
331,Jorge Torres,9,2023,41763.79
194,Antonio Rodríguez,10,2021,29239.94
104,Marta García,1,2023,47263.08
62,Sofía Sánchez,7,2022,49294.52
38,Laura Martínez,8,2021,23150.81
144,Francisco González,8,2023,8940.59
354,Raúl Pérez,3,2021,18330.93
154,Laura Mendoza,4,2021,43517.5
15,José Rodríguez,9,2023,26178.51
127,Pedro Gómez,5,2022,25692.58
245,Luis Morales,5,2023,21937.1
9,Manuel Rodríguez,4,2022,37769.55
297,Luis Mendoza,2,2022,10421.1
59,José Sánchez,12,2023,24433.21
293,Pedro Mendoza,5,2022,28568.01
154,Laura Mendoza,5,2021,32367.65
382,Rosa Rodríguez,5,2022,31209.52
300,Elena Ortiz,11,2023,44055.88
46,Miguel González,2,2022,13172.24
15,José Rodríguez,4,2023,44890.93
307,Elena Morales,10,2023,46451.13
63,Sofía Díaz,2,2022,43104.1
173,Juan Gutierrez,8,2022,30286.66
350,José Ramírez,9,2023,35972.16
340,Carlos Rodríguez,11,2022,40287.05
73,Jorge Díaz,1,2021,6383.13
223,María Mendoza,4,2023,36097.04
197,Lucía Pérez,9,2023,35475.74
1,José Mendoza,5,2022,36252.35
357,Miguel Silva,11,2021,45436.47
370,Ana Sánchez,5,2021,16541.61
226,Ana Rodríguez,4,2023,7085.86
112,Miguel Gutierrez,5,2022,18602.63
61,Marta Pérez,3,2022,49945.15
174,Antonio Ortiz,1,2021,35694.19
258,Francisco Mendoza,10,2023,24873.75
186,Laura García,9,2023,45993.08
87,Marta López,8,2021,15750.0
267,Miguel Gómez,10,2021,37417.62
25,Carmen Morales,1,2023,27382.71
299,Raúl Rodríguez,9,2022,42788.71
360,Carlos Silva,6,2023,45184.08
9,Manuel Rodríguez,3,2021,41865.31
350,José Ramírez,10,2022,26117.26
5,Raúl Silva,5,2021,29282.63
13,Marta González,5,2021,29493.34
171,Pedro González,3,2022,23589.23
57,Luis González,11,2022,44965.52
170,Antonio González,7,2023,15314.54
126,José Silva,12,2023,48262.74
215,Marta Morales,1,2023,17157.22
126,José Silva,6,2022,12803.8
225,Carlos Mendoza,1,2023,34898.5
8,Luis Silva,8,2022,19161.76
275,Laura Morales,12,2021,22325.05
280,Carmen López,7,2022,20019.61
197,Lucía Pérez,3,2021,12580.33
75,Juan Flores,5,2023,32081.32
376,Ana Cruz,2,2022,14368.16
228,Jorge González,1,2021,10067.64
41,Manuel Rivera,8,2022,22946.85
116,Antonio Díaz,10,2023,20907.51
28,Rosa Ortiz,8,2023,24424.88
349,José Pérez,10,2022,6993.15
199,Manuel Mendoza,7,2021,9252.5
296,Jorge Ramírez,3,2021,23173.41
391,José Flores,6,2023,12356.99
310,Rosa Gutierrez,8,2022,9588.17
121,Carmen García,6,2022,30742.9
286,Lucía Torres,11,2023,48913.01
18,Ana Flores,4,2023,34027.04
355,Miguel Ortiz,8,2023,42756.01
135,José Díaz,2,2023,20300.01
210,Jorge Ortiz,4,2021,34489.93
329,Sofía Mendoza,12,2023,47538.81
70,Sofía Pérez,5,2023,9305.29
396,Rosa Gómez,1,2022,32127.68
225,Carlos Mendoza,1,2022,21318.93
361,Sofía López,5,2023,25309.35
207,Laura Gutierrez,10,2022,24976.54
354,Raúl Pérez,3,2021,49790.54
333,Carlos Cruz,1,2021,46491.65
328,Jorge Rodríguez,11,2021,31125.85
275,Laura Morales,6,2022,20004.62
16,Pedro López,5,2023,40391.93
213,María García,10,2022,7989.5
77,Raúl Castro,5,2022,25313.21
76,Miguel Ramírez,9,2023,48740.45
133,Raúl Torres,8,2021,8135.16
60,María Flores,11,2023,40525.61
108,Carmen Cruz,4,2021,21360.6
309,Miguel Díaz,4,2023,13661.67
218,Rosa Ramírez,5,2022,29195.21
71,María Castro,2,2021,45398.42
35,Raúl Gómez,7,2023,11950.97
149,Manuel González,5,2022,16160.62
87,Marta López,1,2023,44227.41
196,Rosa Mendoza,8,2023,18550.27
158,Ana Mendoza,9,2023,42175.61
104,Marta García,12,2021,30104.62
81,Elena Mendoza,2,2021,32709.97
394,Sofía Ramírez,1,2022,29046.18
327,Raúl Mendoza,8,2023,38525.7
11,Francisco Silva,9,2023,27642.26
93,Pedro Rivera,12,2022,18026.29
163,Manuel García,7,2023,37811.04
76,Miguel Ramírez,2,2023,28153.39
194,Antonio Rodríguez,4,2022,11939.18
302,Laura Rivera,4,2021,40764.63
88,Antonio Silva,6,2023,7004.49
314,Sofía García,8,2021,47127.01
398,María Cruz,9,2021,45303.61
144,Francisco González,12,2021,42635.25
216,Elena Sánchez,10,2021,30282.87
400,Carlos López,10,2023,31815.39
400,Carlos López,11,2023,37258.08
143,Carlos Ramírez,12,2021,44217.5
174,Antonio Ortiz,5,2021,11586.19
314,Sofía García,5,2021,18886.43
39,Manuel Gutierrez,3,2023,8386.1
376,Ana Cruz,5,2021,28997.54
360,Carlos Silva,12,2022,16282.15
299,Raúl Rodríguez,5,2021,7693.4
116,Antonio Díaz,8,2021,13180.57
290,Rosa Díaz,12,2022,19162.04
370,Ana Sánchez,4,2021,28942.82
257,Antonio Pérez,4,2022,45554.36
256,Luis Gómez,5,2022,42457.68
244,José Torres,7,2023,25453.59
278,Pedro Ortiz,12,2023,34735.09
171,Pedro González,9,2023,42037.31
307,Elena Morales,4,2021,35508.32
391,José Flores,5,2023,35160.64
69,Raúl Ramírez,6,2023,11830.44
25,Carmen Morales,5,2021,5586.48
295,Carmen Pérez,6,2022,43172.9
135,José Díaz,6,2021,12297.38
166,Antonio Mendoza,10,2023,20056.6
73,Jorge Díaz,6,2023,30115.85
170,Antonio González,8,2022,44332.62
336,Carmen Sánchez,2,2021,30207.27
32,Juan Ramírez,9,2022,42266.81
172,Rosa Silva,12,2021,23555.75
390,Jorge Rivera,9,2021,17080.06
17,Sofía Torres,8,2021,6012.28
12,Pedro Morales,9,2022,5364.48
362,José García,5,2022,19232.1
104,Marta García,8,2022,33935.59
312,Marta Gutierrez,5,2022,17234.54
95,Francisco Castro,11,2021,37670.97
307,Elena Morales,11,2021,41247.88
26,Jorge López,10,2023,23888.8
83,Pedro García,6,2022,49455.66
40,Manuel Torres,11,2021,46663.91
96,Lucía Sánchez,11,2022,39866.69
71,María Castro,1,2022,26288.22
279,Luis Díaz,5,2021,49074.71
1,José Mendoza,7,2021,7358.78
215,Marta Morales,10,2021,48608.98
226,Ana Rodríguez,10,2021,22676.57
157,Raúl Martínez,7,2023,24807.35
301,Elena González,7,2021,33438.08
87,Marta López,1,2021,44780.91
299,Raúl Rodríguez,9,2023,33039.8
375,Elena Díaz,2,2022,39060.16
348,Lucía González,1,2023,7861.25
213,María García,7,2021,5077.16
173,Juan Gutierrez,11,2023,29069.87
210,Jorge Ortiz,5,2021,22766.18
177,Ana Martínez,10,2022,41259.74
281,Juan Mendoza,7,2022,30317.72
297,Luis Mendoza,9,2023,39289.14
311,Lucía Gómez,11,2023,14586.31
393,Francisco Gómez,2,2021,32449.82
63,Sofía Díaz,1,2023,5707.07
90,Raúl Cruz,5,2022,45433.77
247,Carlos García,1,2021,25059.3
222,Laura Cruz,10,2022,9404.02
354,Raúl Pérez,6,2022,33031.81
251,Lucía Cruz,1,2022,11232.42
281,Juan Mendoza,10,2021,45675.62
89,Pedro Flores,1,2021,7722.42
154,Laura Mendoza,12,2022,26049.66
4,Lucía Rivera,4,2023,16385.79
163,Manuel García,8,2022,10514.4
239,Laura Sánchez,1,2023,45343.71
120,Marta Silva,5,2021,11233.48
42,Juan García,10,2021,41068.61
224,Manuel Díaz,7,2023,40954.87
108,Carmen Cruz,9,2021,41039.45
253,Manuel Ortiz,4,2022,14130.19
47,Manuel Ramírez,11,2023,24796.82
191,Juan Sánchez,11,2021,41171.92
304,Pedro Díaz,8,2023,18892.63
280,Carmen López,11,2021,35905.62
364,Jorge Mendoza,7,2021,24700.95
1,José Mendoza,7,2022,17040.46
304,Pedro Díaz,8,2023,28699.22
225,Carlos Mendoza,6,2021,17400.49
329,Sofía Mendoza,2,2022,42537.21
379,Juan Silva,6,2022,44700.55
390,Jorge Rivera,6,2021,42495.06
390,Jorge Rivera,7,2022,40654.18
285,Sofía Martínez,5,2021,30855.68
196,Rosa Mendoza,5,2021,17845.68
69,Raúl Ramírez,4,2023,25592.7
119,Luis Rodríguez,2,2022,45920.17
150,María Gutierrez,1,2022,29452.26
89,Pedro Flores,2,2023,21799.05
161,Jorge Pérez,4,2021,21500.41
190,Lucía Rodríguez,9,2023,41585.91
326,Antonio López,12,2023,7449.04
282,Rosa Morales,4,2021,30016.36
114,Rosa Pérez,12,2022,25766.39
305,Ana Rivera,8,2022,39121.51
103,Laura Castro,6,2021,11143.96
276,Jorge Gutierrez,1,2021,19856.63
206,Carmen Martínez,3,2023,35401.0
311,Lucía Gómez,12,2023,40501.45
212,María Pérez,8,2022,42340.11
75,Juan Flores,7,2022,42732.05
309,Miguel Díaz,1,2023,29796.01
175,Rosa Cruz,11,2022,33699.66
251,Lucía Cruz,11,2023,36379.73
110,Ana Gómez,6,2023,16835.26
4,Lucía Rivera,10,2021,29651.56
15,José Rodríguez,9,2022,9590.82
98,Carlos Díaz,7,2022,11219.21
116,Antonio Díaz,11,2022,35977.37
